,,,,,,,
Nurse,Age,Political Spectrum,Travel Nurse Experience,Most Important - Top 1,Most Important - Top 2,Least Important - bottom of list,Least Important - 2nd bottom of list
16,Gen Z,Conservative,Newbie,Pay,Mgmt & leadership,DEI,Patient acuity
1,Gen Z,Conservative,Newbie Travel Nurse 1 year of experience,Pay,Mgmt & leadership,DEI,Patient acuity
2,Gen Z,Liberal,Newbie Travel Nurse 1 year of experience,Safety,Pay,DEI,Housing Options
3,Gen Z,Neutral,Newbie Travel Nurse 1 year of experience,Orientation & Onboarding,Management and Leadership,Pay,Facility Location
4,Gen Z,Conservative,Newbie Travel Nurse 1 year of experience,Safety & patient ratios,Patient acuity,Management & leadership,Pay
5,Gen Z,Liberal,Newbie Travel Nurse 1 year of experience,Patient Acuity,Housing Options,DEI,Management & Leadership
6,Millennial,Neutral,Moderate Travel Nurse 2-3 years travel experience,Facility Location,Housing Options,Safety & patient ratios,Pay
7,Millennial,Conservative,Veteran Travel Nurse 4+ years of experience,Pay,Mgmt & leadership,Patient acuity,Pay
8,Millennial,Liberal,Moderate Travel Nurse 2-3 years travel experience,Orientation & onboarding,Pay,Housing Options,DEI
9,Millennial,Neutral,Veteran Travel Nurse 4+ years of experience,Facility Location,Mgmt & leadership,DEI,Patient acuity
10,Millennial,Conservative,Veteran Travel Nurse 4+ years of experience,Pay,Mgmt & leadership,Facility Location,DEI
11,Gen X,Liberal,Newbie Travel Nurse 1 year of experience,Safety & patient ratios ,Mgmt & leadership,Orientation & Onboarding,Housing Options
12,Gen X,Neutral,Veteran Travel Nurse 4+ years of experience,Mgmt & leadership,Patient acuity,Pay,Housing Options
13,Gen X,Conservative,Moderate Travel Nurse 2-3 years travel experience,Housing Options,Orientation & Onboarding,Pay,Patient acuity
14,Gen X,Liberal,Moderate Travel Nurse 2-3 years travel experience,Pay,DEI,Patient acuity,Patient acuity
15,Gen X,Neutral,Newbie Travel Nurse 1 year of experience,Mgmt & leadership,Safety & patient ratios,Orientation & onboarding,Housing Options
16,Gen X,Conservative,Moderate Travel Nurse 2-3 years travel experience,Patient acuity,Pay,Orientation & Onboarding,Facility Location
17,Gen Z,Neutral,Newbie,Safety & Patient Ratios,Pay,DEI,Housing Options
18,Millennial,Liberal,Veteran,Orientation & Onboarding,Management and Leadership,Housing Options,Facility Location
19,Gen Z,Neutral,Moderate,Safety & Patient Ratios,Patient acuity,Management & leadership,Pay
20,Gen X,Conservative,Newbie,Patient acuity,Housing Options,Management & Leadership,DEI
21,Millennial,Neutral,Veteran,Facility Location,Housing Options,Patient Acuity,DEI
22,Gen X,Neutral,Veteran,Pay,Mgmt & leadership,Patient acuity,DEI
